method,mission,k,g,chart,mode,reset_failed,nominal_feasible,budget_before,budget_after,risk,reserve,horizon_escape,first_escape,state_violation,input_violation,x0,x1,next_x0,next_x1,nominal_x0,nominal_x1,u,stage_cost,state_tightening,input_tightening
global_compatible,0,0,0,0,certified_reset,0,1,0.1,0.09600612548161347,0.003993874518386541,0.08387136488611735,0.0,0.0,0,0,0.9691972692292818,-0.2599806379470642,0.4185734244564728,-0.8431405485876874,0.9691972692292818,-0.2599806379470642,-0.5821142104617579,0.9599809583113601,0.057158939143137244,0.29608028944994996
global_compatible,0,1,0,0,certified_reset,0,1,0.09600612548161347,0.09201225096322693,0.003993874518386541,0.07987749036773081,0.0,0.0,0,0,0.4185734244564728,-0.8431405485876874,-0.014531068905655427,-0.017908389294692368,0.4185734244564728,-0.8431405485876874,0.8252243479684566,0.320188069514312,0.057158939143137244,0.29608028944994996
global_compatible,0,2,0,0,certified_reset,0,1,0.09201225096322693,0.0880183764448404,0.003993874518386541,0.07588361584934428,0.0,0.0,0,0,-0.014531068905655427,-0.017908389294692368,-0.010473867097983067,0.025416664094010052,-0.014531068905655427,-0.017908389294692368,0.04084977820520647,0.00031059744630971544,0.057158939143137244,0.29608028944994996
global_compatible,0,3,0,0,certified_reset,0,1,0.0880183764448404,0.08402450192645386,0.003993874518386541,0.07188974133095774,0.0,0.0,0,0,-0.010473867097983067,0.025416664094010052,0.00014185293375439654,-0.0072827102551065205,-0.010473867097983067,0.025416664094010052,-0.027011633446113962,0.00024422382698208596,0.057158939143137244,0.29608028944994996
global_compatible,0,4,0,0,certified_reset,0,1,0.08402450192645386,0.08003062740806732,0.003993874518386541,0.0678958668125712,0.0,0.0,0,0,0.00014185293375439654,-0.0072827102551065205,0.00978248850800308,0.005332178916275954,0.00014185293375439654,-0.0072827102551065205,0.01058692726958283,1.2369014338870704e-05,0.057158939143137244,0.29608028944994996
global_compatible,0,5,0,0,certified_reset,0,1,0.08003062740806732,0.07603675288968079,0.003993874518386541,0.06390199229418467,0.0,0.0,0,0,0.00978248850800308,0.005332178916275954,0.005728412917687444,-0.0177885297821124,0.00978248850800308,0.005332178916275954,-0.017598626279925984,0.00010855765634185685,0.057158939143137244,0.29608028944994996
global_compatible,0,6,0,0,certified_reset,0,1,0.07603675288968079,0.07204287837129425,0.003993874518386541,0.05990811777579813,0.0,0.0,0,0,0.005728412917687444,-0.0177885297821124,-0.004197852071545792,0.011979872338164324,0.005728412917687444,-0.0177885297821124,0.020503374572034702,0.00010028214630219532,0.057158939143137244,0.29608028944994996
global_compatible,0,7,0,0,certified_reset,0,1,0.07204287837129425,0.06804900385290771,0.003993874518386541,0.05591424325741159,0.0,0.0,0,0,-0.004197852071545792,0.011979872338164324,-0.008373430638606315,-0.00726200606967039,-0.004197852071545792,0.011979872338164324,-0.01346745372797054,4.798939118542564e-05,0.057158939143137244,0.29608028944994996
global_compatible,0,8,0,0,certified_reset,0,1,0.06804900385290771,0.06405512933452118,0.003993874518386541,0.051920368739025044,0.0,0.0,0,0,-0.008373430638606315,-0.00726200606967039,-0.0012235498123435813,0.006152024696660467,-0.008373430638606315,-0.00726200606967039,0.0190371304904211,8.86672608803513e-05,0.057158939143137244,0.29608028944994996
global_compatible,0,9,0,0,certified_reset,0,1,0.06405512933452118,0.060061254816134634,0.003993874518386541,0.0479264942206385,0.0,0.0,0,0,-0.0012235498123435813,0.006152024696660467,-0.006328902928789366,0.005884172543561105,-0.0012235498123435813,0.006152024696660467,-0.007846579363583529,9.848827752309041e-06,0.057158939143137244,0.29608028944994996
global_compatible,0,10,0,0,certified_reset,0,1,0.060061254816134634,0.05606738029774809,0.003993874518386541,0.04393261970225196,0.0,0.0,0,0,-0.006328902928789366,0.005884172543561105,0.001782687425678098,0.0016670404730616784,-0.006328902928789366,0.005884172543561105,-0.002366753537001406,4.642727791369303e-05,0.057158939143137244,0.29608028944994996
