method,mission,k,g,chart,mode,reset_failed,nominal_feasible,budget_before,budget_after,risk,reserve,horizon_escape,first_escape,state_violation,input_violation,x0,x1,next_x0,next_x1,nominal_x0,nominal_x1,u,stage_cost,state_tightening,input_tightening
global_compatible,0,0,0,0,certified_reset,0,1,0.1,0.09600612548161347,0.003993874518386541,0.08387136488611735,0.0,0.0,0,0,4.592296022029293,0.3965920866945336,4.214336766133115,-1.1521293656154203,4.592296022029293,0.3965920866945336,-1.55,21.17755660492724,0.05718813824976203,0.29612046627603417
global_compatible,0,1,0,0,certified_reset,0,1,0.09600612548161347,0.09201225096322693,0.003993874518386541,0.07987749036773081,0.0,0.0,0,0,4.214336766133115,-1.1521293656154203,2.3398778527313135,-2.589102905129034,4.214336766133115,-1.1521293656154203,-1.4256816009251871,18.05038095258214,0.05718813824976203,0.29612046627603417
global_compatible,0,2,1,1,certified_reset,0,1,0.09201225096322693,0.0880183764448404,0.003993874518386541,0.07588361584934428,0.0,0.0,0,0,2.3398778527313135,-2.589102905129034,0.4963725623886994,-1.1177067111647767,2.3398778527313135,-2.589102905129034,1.484026203307617,6.736708403607662,0.05718813824976203,0.29612046627603417
global_compatible,0,3,1,1,certified_reset,0,1,0.0880183764448404,0.08402450192645386,0.003993874518386541,0.07188974133095774,0.0,0.0,0,0,0.4963725623886994,-1.1177067111647767,-0.045892036724773475,0.03757561204592541,0.4963725623886994,-1.1177067111647767,1.152216522888744,0.5044440861756697,0.05718813824976203,0.29612046627603417
global_compatible,0,4,1,1,certified_reset,0,1,0.08402450192645386,0.08003062740806732,0.003993874518386541,0.0678958668125712,0.0,0.0,0,0,-0.045892036724773475,0.03757561204592541,-0.01666527154512789,0.017690992288464436,-0.045892036724773475,0.03757561204592541,-0.009656588511077868,0.0023625570690024252,0.05718813824976203,0.29612046627603417
global_compatible,0,5,1,1,certified_reset,0,1,0.08003062740806732,0.07603675288968079,0.003993874518386541,0.06390199229418467,0.0,0.0,0,0,-0.01666527154512789,0.017690992288464436,0.010603171481675628,0.0247110441499081,-0.01666527154512789,0.017690992288464436,-0.0094668812308375,0.0003363066391459104,0.05718813824976203,0.29612046627603417
global_compatible,0,6,1,1,certified_reset,0,1,0.07603675288968079,0.07204287837129425,0.003993874518386541,0.05990811777579813,0.0,0.0,0,0,0.010603171481675628,0.0247110441499081,0.016862893588030333,-0.04320431517715145,0.010603171481675628,0.0247110441499081,-0.046961620377188436,0.0002774765167172657,0.05718813824976203,0.29612046627603417
global_compatible,0,7,1,1,certified_reset,0,1,0.07204287837129425,0.06804900385290771,0.003993874518386541,0.05591424325741159,0.0,0.0,0,0,0.016862893588030333,-0.04320431517715145,-0.023090659699040915,0.00306768747684446,0.016862893588030333,-0.04320431517715145,0.0468535181076704,0.0006752287971246746,0.05718813824976203,0.29612046627603417
global_compatible,0,8,0,0,certified_reset,0,1,0.06804900385290771,0.06405512933452118,0.003993874518386541,0.051920368739025044,0.0,0.0,0,0,-0.023090659699040915,0.00306768747684446,-0.004075092431542752,0.012392782435400903,-0.023090659699040915,0.00306768747684446,0.018475999351374596,0.0005434065562997181,0.05718813824976203,0.29612046627603417
global_compatible,0,9,0,0,certified_reset,0,1,0.06405512933452118,0.060061254816134634,0.003993874518386541,0.0479264942206385,0.0,0.0,0,0,-0.004075092431542752,0.012392782435400903,0.0024244277403898066,-0.003629302633976047,-0.004075092431542752,0.012392782435400903,-0.014200045626776748,4.9292000889093156e-05,0.05718813824976203,0.29612046627603417
