method,mission,k,g,chart,mode,reset_failed,nominal_feasible,budget_before,budget_after,risk,reserve,horizon_escape,first_escape,state_violation,input_violation,x0,x1,next_x0,next_x1,nominal_x0,nominal_x1,u,stage_cost,state_tightening,input_tightening
interior_shock,0,0,0,0,certified_reset,0,1,0.1,0.09600612548161347,0.003993874518386541,0.0678958668125712,0.0,0.0,0,0,1.0,0.1,0.5279640623451226,-1.0436402363715978,1.0,0.1,-1.1430708543961066,1.0344652744542462,0.0504670444535701,0.2551124446039954
interior_shock,0,1,0,0,certified_reset,0,1,0.09600612548161347,0.09201225096322693,0.003993874518386541,0.06390199229418467,0.0,0.0,0,0,0.5279640623451226,-1.0436402363715978,-0.014112317058922914,-0.011607003510060273,0.5279640623451226,-1.0436402363715978,1.0116517388105706,0.5003853218792034,0.0504670444535701,0.2551124446039954
interior_shock,0,2,0,0,certified_reset,0,1,0.09201225096322693,0.0880183764448404,0.003993874518386541,0.05990811777579813,0.0,0.0,0,0,-0.014112317058922914,-0.011607003510060273,-0.0023291951111646895,0.019136949091791894,-0.014112317058922914,-0.011607003510060273,0.031151222779216777,0.00024766751527443583,0.0504670444535701,0.2551124446039954
interior_shock,0,3,0,0,certified_reset,0,1,0.0880183764448404,0.08402450192645386,0.003993874518386541,0.05591424325741159,1.0,1.0,0,0,-0.0023291951111646895,0.019136949091791894,6.496885858326711,2.9932809362364203,-0.0023291951111646895,0.019136949091791894,-0.025873835481545673,8.8081641626556e-05,0.0504670444535701,0.2551124446039954
interior_shock,0,4,0,0,recovery,1,1,0.08402450192645386,0.08402450192645386,0.0,0.051920368739025044,,0.0,1,0,6.496885858326711,2.9932809362364203,8.719567828921466,1.4557571474655946,0.0038708362398543698,-0.006736886389753779,-1.55,43.88233989350815,0.0504670444535701,0.2551124446039954
interior_shock,0,5,0,0,recovery,0,1,0.08402450192645386,0.08402450192645386,0.0,0.0479264942206385,,0.0,1,0,8.719567828921466,1.4557571474655946,9.400922290020194,-0.088966225522482,0.0001687136884303015,-0.0006673587130943577,-1.55,76.47238682019369,0.0504670444535701,0.2551124446039954
interior_shock,0,6,0,0,recovery,0,1,0.08402450192645386,0.08402450192645386,0.0,0.04393261970225196,,0.0,1,0,9.400922290020194,-0.088966225522482,8.538553630640715,-1.6311531973443814,-9.05039972493395e-05,0.0001489233417350757,-1.55,88.43882710106959,0.0504670444535701,0.2551124446039954
interior_shock,0,7,0,0,recovery,0,1,0.08402450192645386,0.08402450192645386,0.0,0.039938745183865414,,0.0,0,0,8.538553630640715,-1.6311531973443814,6.13554762683808,-3.1820922385698287,-7.485241856232145e-06,1.7114169051139013e-05,-1.55,73.44587953890496,0.0504670444535701,0.2551124446039954
interior_shock,0,8,0,0,recovery,0,1,0.08402450192645386,0.08402450192645386,0.0,0.03594487066547887,,0.0,1,0,6.13554762683808,-3.1820922385698287,2.4411418351054377,-4.199791242425877,1.309923460939821e-06,4.7616158320491916e-07,-1.022988976351237,39.49373532499974,0.0504670444535701,0.2551124446039954
interior_shock,0,9,0,0,recovery,0,1,0.08402450192645386,0.08402450192645386,0.0,0.03195099614709233,,0.0,0,0,2.4411418351054377,-4.199791242425877,-0.979171476870512,-2.6548454130302925,4.6735830265649046e-07,-2.1612918997715804e-06,1.55,9.194120325494222,0.0504670444535701,0.2551124446039954
interior_shock,0,10,0,0,recovery,0,1,0.08402450192645386,0.08402450192645386,0.0,0.027957121628705783,,0.0,0,0,-0.979171476870512,-2.6548454130302925,-2.85474675714897,-1.1027994566641686,1.2903575384325665e-06,3.8072903713237325e-06,1.55,2.2875160311926166,0.0504670444535701,0.2551124446039954
interior_shock,0,11,0,0,recovery,0,1,0.08402450192645386,0.08402450192645386,0.0,0.023963247110319243,,0.0,0,0,-2.85474675714897,-1.1027994566641686,-3.181622183788295,0.4424027087893419,1.4537638912800714e-06,-3.4804776656287226e-06,1.55,8.428551542943945,0.0504670444535701,0.2551124446039954
interior_shock,0,12,0,0,recovery,0,1,0.08402450192645386,0.08402450192645386,0.0,0.019969372591932703,,0.0,0,0,-3.181622183788295,0.4424027087893419,-1.9604352660430957,1.9905961495767037,-7.363909191163993e-07,-8.998319551642188e-07,1.55,10.218011848587746,0.0504670444535701,0.2551124446039954
interior_shock,0,13,0,0,recovery,0,1,0.08402450192645386,0.08402450192645386,0.0,0.015975498073546163,,0.0,0,0,-1.9604352660430957,1.9905961495767037,-0.32480801500186834,1.2801626593855522,-7.968372572275258e-07,7.789392789419657e-07,-0.7063904621258149,4.569026264997749,0.0504670444535701,0.2551124446039954
interior_shock,0,14,0,0,recovery,0,1,0.08402450192645386,0.08402450192645386,0.0,0.011981623555159623,,0.0,0,0,-0.32480801500186834,1.2801626593855522,0.3929053250349509,0.1591345119332816,-1.6204802492724475e-07,4.906391856585965e-07,-1.1253650924888297,0.4321483696015798,0.0504670444535701,0.2551124446039954
interior_shock,0,15,0,0,recovery,0,1,0.08402450192645386,0.08402450192645386,0.0,0.007987749036773082,,0.0,0,0,0.3929053250349509,0.1591345119332816,0.32585607331169275,-0.2962816083277889,1.9758274039090342e-07,2.2862234497769993e-07,-0.4505548352112716,0.16400786864901068,0.0504670444535701,0.2551124446039954
