method,mission,k,g,chart,mode,reset_failed,nominal_feasible,budget_before,budget_after,risk,reserve,horizon_escape,first_escape,state_violation,input_violation,x0,x1,next_x0,next_x1,nominal_x0,nominal_x1,u,stage_cost,state_tightening,input_tightening
greedy,0,0,0,0.0,certified_reset,0.0,1.0,0.02,0.01600612548161346,0.003993874518386541,0.08387136488611735,0.0,0.0,0.0,0.0,4.920739937114178,0.07731490144830278,4.22248071562521,-1.4708508525272086,4.920739937114178,0.07731490144830278,-1.5499999999986458,24.27481999562781,0.0504670444535701,0.2551124446039954
greedy,0,1,0,0.0,certified_reset,0.0,1.0,0.01600612548161346,0.01201225096322692,0.003993874518386541,0.07987749036773081,0.0,0.0,0.0,0.0,4.22248071562521,-1.4708508525272086,2.162005531811085,-2.6499557751669522,4.22248071562521,-1.4708508525272086,-1.1836665564888293,18.253782458218936,0.0504670444535701,0.2551124446039954
greedy,0,2,0,0.0,certified_reset,0.0,1.0,0.01201225096322692,0.00801837644484038,0.003993874518386541,0.07588361584934428,0.0,0.0,0.0,0.0,2.162005531811085,-2.6499557751669522,0.2859008786171726,-1.09495335813025,2.162005531811085,-2.6499557751669522,1.55,5.998338229443056,0.0504670444535701,0.2551124446039954
greedy,0,3,0,0.0,certified_reset,0.0,1.0,0.00801837644484038,0.00402450192645384,0.003993874518386541,0.07188974133095774,0.0,0.0,0.0,0.0,0.2859008786171726,-1.09495335813025,-0.14710624503027595,0.23338645403456165,0.2859008786171726,-1.09495335813025,1.3282781505574368,0.3416534976918064,0.0504670444535701,0.2551124446039954
greedy,0,4,0,0.0,certified_reset,0.0,1.0,0.00402450192645384,3.0627408067298786e-05,0.003993874518386541,0.0678958668125712,0.0,0.0,0.0,0.0,-0.14710624503027595,0.23338645403456165,-0.007280130639757913,0.031506528892447774,-0.14710624503027595,0.23338645403456165,-0.19731718792158282,0.032418061789968394,0.0504670444535701,0.2551124446039954
greedy,0,5,0,,budget_exhaustion,,,3.0627408067298786e-05,3.0627408067298786e-05,0.0,,,,,,-0.007280130639757913,0.031506528892447774,,,,,,,,
