Gamma,one_step_ratio,maximum_heavy_weight,minimum_calibration_samples,uncorrected_test_pct,uncorrected_legitimate_budget,uncorrected_state_tightening_pct,uncorrected_input_tightening_pct,status,corrected_test_pct,corrected_state_tightening_pct,corrected_input_tightening_pct,risk_spent,completed,reason
1.0,1.0,0.05,1897,0.31625,0.08763801445732589,9.642308985608935,22.820054672460625,admissible,0.31625,9.642308985608935,22.820054672460625,0.08763801445732589,40.0,
3.0,1.1161231740339044,0.055806158701695224,5697,0.33125,0.26291404337197766,9.614877715079551,22.74578343876554,admissible,0.09749999999999999,11.90894780782898,28.172833378380453,0.08794723839028057,120.0,
10.0,1.2589254117941673,0.06294627058970836,18999,0.36250000000000004,0.8763801445732589,9.642308985608935,22.820054672460625,admissible,0.008749999999999999,15.676470621066684,37.10085594414005,0.08382974413992124,40.0,
25.0,1.379729661461215,0.06898648307306075,47502,0.38875,2.1909503614331474,9.642308985608935,22.820054672460625,admissible,0.00125,20.378503602481427,48.228963316320595,0.08360357226798036,40.0,
100.0,1.5848931924611136,0.07924465962305569,190019,0.43375,8.76380144573259,9.642308985608935,22.820054672460625,sample_rejected,,,,,,"Insufficient sample size N=50000, risk=4e-05, delta=0.0005"
59049.0,3.0,0.15000000000000002,112206419,0.73875,22.0,9.642308985608935,22.820054672460625,sample_rejected,,,,,,"Insufficient sample size N=50000, risk=6.774035123372115e-08, delta=0.0005"
