method,mission,k,g,chart,mode,reset_failed,nominal_feasible,budget_before,budget_after,risk,reserve,horizon_escape,first_escape,state_violation,input_violation,x0,x1,next_x0,next_x1,nominal_x0,nominal_x1,u,stage_cost,state_tightening,input_tightening
scenario,0,0,0,0,certified_reset,0,1,0.1,0.09600015272538888,0.003999847274611132,0.08399679276683375,0.0,0.0,0,0,3.1989900460688343,0.08983629918754388,2.507140638038289,-1.4597093670984154,3.1989900460688343,0.08983629918754388,-1.5499999999999845,10.295052515764791,0.06398029715309778,0.3220503692168386
scenario,0,1,0,0,certified_reset,0,1,0.09600015272538888,0.09200030545077775,0.003999847274611132,0.07999694549222262,0.0,0.0,0,0,2.507140638038289,-1.4597093670984154,0.9336407116921411,-1.689760740417723,2.507140638038289,-1.4597093670984154,-0.23139232011585079,6.670627997599328,0.06398029715309778,0.3220503692168386
scenario,0,2,0,0,certified_reset,0,1,0.09200030545077775,0.08800045817616663,0.003999847274611132,0.0759970982176115,0.0,0.0,0,0,0.9336407116921411,-1.689760740417723,0.02339127396399384,-0.1590347244925106,0.9336407116921411,-1.689760740417723,1.55,1.445699923303277,0.06398029715309778,0.3220503692168386
scenario,0,3,0,0,certified_reset,0,1,0.08800045817616663,0.0840006109015555,0.003999847274611132,0.07199725094300037,0.0,0.0,0,0,0.02339127396399384,-0.1590347244925106,-0.02679391838926254,0.05180530753247446,0.02339127396399384,-0.1590347244925106,0.2109808767412103,0.006212542803414435,0.06398029715309778,0.3220503692168386
scenario,0,4,0,0,certified_reset,0,1,0.0840006109015555,0.08000076362694437,0.003999847274611132,0.06799740366838924,0.0,0.0,0,0,-0.02679391838926254,0.05180530753247446,0.004360084163758981,-0.012433512546804183,-0.02679391838926254,0.05180530753247446,-0.04963412937794728,0.0012625849125642973,0.06398029715309778,0.3220503692168386
scenario,0,5,0,0,certified_reset,0,1,0.08000076362694437,0.07600091635233325,0.003999847274611132,0.06399755639377812,0.0,0.0,0,0,0.004360084163758981,-0.012433512546804183,-0.0063779569016630885,0.0016346531907074718,0.004360084163758981,-0.012433512546804183,0.013975373045690359,5.1719712374493735e-05,0.06398029715309778,0.3220503692168386
scenario,0,6,0,0,certified_reset,0,1,0.07600091635233325,0.07200106907772212,0.003999847274611132,0.05999770911916699,0.0,0.0,0,0,-0.0063779569016630885,0.0016346531907074718,-0.0001427420006135608,0.010712937382858195,-0.0063779569016630885,0.0016346531907074718,0.003935363914739207,4.1546487857707836e-05,0.06398029715309778,0.3220503692168386
scenario,0,7,0,0,certified_reset,0,1,0.07200106907772212,0.068001221803111,0.003999847274611132,0.05599786184455586,0.0,0.0,0,0,-0.0001427420006135608,0.010712937382858195,-0.0014191099236988526,-0.0018138684372537013,-0.0001427420006135608,0.010712937382858195,-0.01563722079803739,2.6791507062330798e-05,0.06398029715309778,0.3220503692168386
scenario,0,8,0,0,certified_reset,0,1,0.068001221803111,0.06400137452849987,0.003999847274611132,0.051998014569944725,0.0,0.0,0,0,-0.0014191099236988526,-0.0018138684372537013,-0.0013839877733251612,-0.0005858825126353029,-0.0014191099236988526,-0.0018138684372537013,0.004085329818539576,3.023342336076512e-06,0.06398029715309778,0.3220503692168386
scenario,0,9,0,0,certified_reset,0,1,0.06400137452849987,0.060001527253888735,0.003999847274611132,0.04799816729533359,0.0,0.0,0,0,-0.0013839877733251612,-0.0005858825126353029,-0.00018344881927132082,-0.0018995361466026656,-0.0013839877733251612,-0.0005858825126353029,0.0022414118158712516,2.1028068272718534e-06,0.06398029715309778,0.3220503692168386
