method,mission,k,g,chart,mode,reset_failed,nominal_feasible,budget_before,budget_after,risk,reserve,horizon_escape,first_escape,state_violation,input_violation,x0,x1,next_x0,next_x1,nominal_x0,nominal_x1,u,stage_cost,state_tightening,input_tightening
collective_equal_total,0,0,0,0,certified_reset,0,1,0.1,0.09601735749379099,0.003982642506209012,0.08363549263038927,0.0,0.0,0,0,3.1989900460688343,0.08983629918754388,2.5071406380383565,-1.459709367098281,3.1989900460688343,0.08983629918754388,-1.5499999999998502,10.29505251576478,0.05353241616191548,0.27052144825733065
collective_equal_total,0,1,0,0,certified_reset,0,1,0.09601735749379099,0.09203471498758198,0.003982642506209012,0.07965285012418026,0.0,0.0,0,0,2.5071406380383565,-1.459709367098281,0.932330268298079,-1.6923816272061167,2.5071406380383565,-1.459709367098281,-0.23401320690437874,6.670658491979523,0.05353241616191548,0.27052144825733065
collective_equal_total,0,2,0,0,certified_reset,0,1,0.09203471498758198,0.08805207248137296,0.003982642506209012,0.07567020761797125,0.0,0.0,0,0,0.932330268298079,-1.6923816272061167,0.019459943781538,-0.16165561128090428,0.932330268298079,-1.6923816272061167,1.55,1.444850232163636,0.05353241616191548,0.27052144825733065
collective_equal_total,0,3,0,0,certified_reset,0,1,0.08805207248137296,0.08406942997516395,0.003982642506209012,0.07168756511176223,0.0,0.0,0,0,0.019459943781538,-0.16165561128090428,-0.029459778993962224,0.05695713347638044,0.019459943781538,-0.16165561128090428,0.21875358947350995,0.006278874333217751,0.05353241616191548,0.27052144825733065
collective_equal_total,0,4,0,0,certified_reset,0,1,0.08406942997516395,0.08008678746895494,0.003982642506209012,0.06770492260555322,0.0,0.0,0,0,-0.029459778993962224,0.05695713347638044,0.00437750631736676,-0.012218772974095234,-0.029459778993962224,0.05695713347638044,-0.05457121574914431,0.0015262697277739084,0.05353241616191548,0.27052144825733065
collective_equal_total,0,5,0,0,certified_reset,0,1,0.08008678746895494,0.07610414496274592,0.003982642506209012,0.0637222800993442,0.0,0.0,0,0,0.00437750631736676,-0.012218772974095234,-0.006315328312944684,0.0015103264882197743,0.00437750631736676,-0.012218772974095234,0.013636306770493713,5.068499745570763e-05,0.05353241616191548,0.27052144825733065
collective_equal_total,0,6,0,0,certified_reset,0,1,0.07610414496274592,0.07212150245653691,0.003982642506209012,0.0597396375931352,0.0,0.0,0,0,-0.006315328312944684,0.0015103264882197743,-0.00014115180607152762,0.01071518729699315,-0.006315328312944684,0.0015103264882197743,0.00406194053136186,4.070645122047205e-05,0.05353241616191548,0.27052144825733065
collective_equal_total,0,7,0,0,certified_reset,0,1,0.07212150245653691,0.0681388599503279,0.003982642506209012,0.055756995086926185,0.0,0.0,0,0,-0.00014115180607152762,0.01071518729699315,-0.0014187556509809842,-0.0018185901950369845,-0.00014115180607152762,0.01071518729699315,-0.015644192469955628,2.6805185769018466e-05,0.05353241616191548,0.27052144825733065
collective_equal_total,0,8,0,0,certified_reset,0,1,0.0681388599503279,0.06415621744411888,0.003982642506209012,0.05177435258071717,0.0,0.0,0,0,-0.0014187556509809842,-0.0018185901950369845,-0.0013858381981557962,-0.0005855701499490264,-0.0014187556509809842,-0.0018185901950369845,0.004090363939009136,3.026453179576373e-06,0.05353241616191548,0.27052144825733065
collective_equal_total,0,9,0,0,certified_reset,0,1,0.06415621744411888,0.06017357493790987,0.003982642506209012,0.04779171007450816,0.0,0.0,0,0,-0.0013858381981557962,-0.0005855701499490264,-0.00018429039788185934,-0.0018978308168487485,-0.0013858381981557962,-0.0005855701499490264,0.0022428047829388923,2.108022475919082e-06,0.05353241616191548,0.27052144825733065
